OrderNumber,Date,InvoiceType,CustomerCode,Customer,BranchCode,Branch,Area,SalesRep,Brand,Category,SalesQuantity,SalesValue
SO-100354,2024-06-04,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,Silkene,HPC,5,7648.9
SO-101576,2024-06-04,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Bakehouse Co,Food,2,1743.14
SO-101900,2024-06-04,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Silkene,HPC,1,1508.75
SO-101488,2024-06-05,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Mintleaf,HPC,12,7921.32
SO-101835,2024-06-05,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Goldenfields,Food,5,5158.0
SO-100290,2024-06-06,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,PureGlow,HPC,1,2812.8
SO-100564,2024-06-06,Sales,1014,Day to Day,50062,Day to Day - Deira,Deira,Rashid Al Marzooqi,Mintleaf,HPC,60,38103.6
SO-100665,2024-06-06,Return,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,PureGlow,HPC,-12,-30632.52
SO-100674,2024-06-06,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Cleanova,HPC,12,15174.84
SO-100690,2024-06-06,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,Caressa,HPC,2,2356.2
SO-100822,2024-06-06,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,Silkene,HPC,20,38882.6
SO-100901,2024-06-06,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Bakehouse Co,Food,100,97048.0
SO-101500,2024-06-06,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Sparklo,HPC,12,10391.52
SO-101570,2024-06-06,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Oasis Delights,Food,2,1826.46
SO-100098,2024-06-07,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Cedarna,Food,5,5737.75
SO-100103,2024-06-07,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,Sparklo,HPC,1,795.93
SO-101217,2024-06-07,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Goldenfields,Food,8,8395.52
SO-101908,2024-06-07,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Cleanova,HPC,3,3939.87
SO-100547,2024-06-09,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Marhaba Gold,Food,20,13102.0
SO-100908,2024-06-09,Sales,1010,Géant,50043,Géant - Festival City,Festival City,Omar Haddad,Verdé,HPC,1,1714.72
SO-101045,2024-06-09,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,FreshLine,HPC,2,1823.02
SO-101059,2024-06-09,Sales,1011,Aswaaq,50050,Aswaaq - International City,International City,Sunil Kumar,Cleanova,HPC,2,2171.08
SO-101189,2024-06-09,Return,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,PureGlow,HPC,-5,-13957.2
SO-101373,2024-06-09,Sales,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,PureGlow,HPC,5,12692.35
SO-101579,2024-06-09,Sales,1011,Aswaaq,50049,Aswaaq - Downtown,Downtown,Joseph Mathew,Lumora,HPC,40,69486.4
SO-101022,2024-06-10,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,SunHarvest,Food,2,957.58
SO-101528,2024-06-10,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Marhaba Gold,Food,5,3335.8
SO-101626,2024-06-10,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Cleanova,HPC,2,2623.66
SO-100117,2024-06-12,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Verdé,HPC,8,17002.0
SO-100490,2024-06-12,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,FreshLine,HPC,1,1046.55
SO-100963,2024-06-12,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Cedarna,Food,5,5905.8
SO-101296,2024-06-12,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Bakehouse Co,Food,20,15702.2
SO-101362,2024-06-12,Sales,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Goldenfields,Food,2,1918.24
SO-101699,2024-06-12,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Lumora,HPC,2,4005.98
SO-101726,2024-06-12,Sales,1011,Aswaaq,50050,Aswaaq - International City,International City,Sunil Kumar,Goldenfields,Food,3,2925.63
SO-100684,2024-06-13,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Bakehouse Co,Food,5,3793.5
SO-100659,2024-06-14,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Bakehouse Co,Food,2,1633.92
SO-101345,2024-06-14,Sales,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,Mintleaf,HPC,1,686.81
SO-101676,2024-06-14,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Bakehouse Co,Food,2,1849.82
SO-101703,2024-06-14,Sales,1015,Safeer Market,50065,Safeer Market - Discovery Gardens,Discovery Gardens,Lina Aboud,Auracare,HPC,2,4659.02
SO-100745,2024-06-15,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Silkene,HPC,5,9198.5
SO-101005,2024-06-15,Sales,1010,Géant,50041,Géant - Dubai Marina,Dubai Marina,Fatima Khan,Cedarna,Food,2,2165.72
SO-101871,2024-06-15,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Silkene,HPC,2,3994.38
SO-101649,2024-06-16,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Mintleaf,HPC,8,6353.04
SO-101710,2024-06-16,Return,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Bakehouse Co,Food,-3,-2341.56
SO-100597,2024-06-17,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,SunHarvest,Food,1,622.42
SO-100977,2024-06-17,Sales,1014,Day to Day,50063,Day to Day - Al Barsha,Al Barsha,Mohammed Saleh,FreshLine,HPC,20,18319.8
SO-101356,2024-06-17,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,FreshLine,HPC,40,43264.4
SO-100178,2024-06-18,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,Caressa,HPC,20,26204.4
SO-100876,2024-06-20,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Sparklo,HPC,3,2818.44
SO-100906,2024-06-20,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,JUMEIRAH,Grace Fernandes,Mintleaf,HPC,5,3967.55
SO-101383,2024-06-20,Sales,1010,Géant,50045,Géant - Deira,Deira,Rashid Al Marzooqi,Sparklo,HPC,20,15589.2
SO-101790,2024-06-20,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,DeliMia,Food,2,2500.3
SO-100198,2024-06-21,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Cleanova,HPC,2,2704.62
SO-100548,2024-06-21,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,PureGlow,HPC,1,3036.24
SO-100608,2024-06-21,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Goldenfields,Food,5,5056.35
SO-100650,2024-06-21,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,DeliMia,Food,3,3300.63
SO-100077,2024-06-22,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,Mintleaf,HPC,2,1578.98
SO-100350,2024-06-22,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,Oasis Delights,Food,20,17524.8
SO-101732,2024-06-22,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,FreshLine,HPC,60,59565.6
SO-101777,2024-06-22,Sales,1015,Safeer Market,50067,Safeer Market - Jumeirah,Jumeirah,Grace Fernandes,Lumora,HPC,12,24967.44
SO-100325,2024-06-23,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Goldenfields,Food,1,976.25
SO-100819,2024-06-23,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Zaytoona,Food,8,12428.16
SO-101914,2024-06-23,Sales,1010,Géant,50043,Géant - Festival City,Festival City,Omar Haddad,Cleanova,HPC,40,45458.4
SO-100629,2024-06-24,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,PureGlow,HPC,1,2787.97
SO-100632,2024-06-24,Sales,1010,Géant,50042,Géant - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,2,1388.06
SO-101240,2024-06-24,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Bakehouse Co,Food,3,2470.92
SO-100747,2024-06-25,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Cedarna,Food,2,2718.42
SO-100752,2024-06-25,Sales,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,Goldenfields,Food,1,1035.29
SO-101548,2024-06-25,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Zaytoona,Food,1,1487.79
SO-101778,2024-06-26,Sales,1010,Géant,50042,Géant - Bur Dubai,Bur Dubai,Anjali Menon,Cedarna,Food,8,8759.76
SO-100574,2024-06-27,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Crunchio,Food,2,884.78
SO-100823,2024-06-27,Sales,1002,Lulu Hypermarket,50005,Lulu Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Zaytoona,Food,3,4426.23
SO-100928,2024-06-27,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,SunHarvest,Food,20,10954.6
SO-101083,2024-06-27,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,Marhaba Gold,Food,40,24500.4
SO-101467,2024-06-27,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,SunHarvest,Food,12,5916.12
SO-101686,2024-06-27,Sales,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,Sparklo,HPC,8,7682.4
SO-101893,2024-06-27,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Oasis Delights,Food,1,716.55
SO-101203,2024-06-28,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,Verdé,HPC,40,94146.0
SO-101789,2024-06-28,Sales,1004,Choithrams,50011,Choithrams - Al Qusais,Al Qusais,Anjali Menon,Oasis Delights,Food,3,2483.64
SO-100327,2024-06-29,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,Lumora,HPC,1,2190.99
SO-101250,2024-06-29,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Mintleaf,HPC,1,849.15
SO-101363,2024-06-29,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,Marhaba Gold,Food,5,3108.2
SO-101405,2024-06-29,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,Sparklo,HPC,2,1892.86
SO-101475,2024-06-29,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Crunchio,Food,3,1667.04
SO-100522,2024-06-30,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Bakehouse Co,Food,12,9464.28
SO-101024,2024-06-30,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Goldenfields,Food,1,969.29
SO-101026,2024-06-30,Sales,1015,Safeer Market,50065,Safeer Market - Discovery Gardens,Discovery Gardens,Lina Aboud,Caressa,HPC,1,1330.72
SO-101549,2024-06-30,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Bakehouse Co,Food,12,11754.48
SO-101933,2024-06-30,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Goldenfields,Food,2,2048.04
SO-100149,2024-07-01,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Goldenfields,Food,3,2982.0
SO-100714,2024-07-01,Sales,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,Goldenfields,Food,3,3299.19
SO-101206,2024-07-02,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Sparklo,HPC,1,1009.68
SO-101518,2024-07-02,Sales,1001,Carrefour,50003,Carrefour - Satwa,Satwa,Mohammed Saleh,SunHarvest,Food,12,5529.12
SO-101737,2024-07-02,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Zaytoona,Food,5,8979.2
SO-101959,2024-07-02,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,SunHarvest,Food,12,7389.72
SO-101987,2024-07-02,Sales,1007,Al Maya Supermarket,50027,Al Maya Supermarket - Festival City,Festival City,Omar Haddad,PureGlow,HPC,3,8117.01
SO-101062,2024-07-03,Sales,1014,Day to Day,50062,Day to Day - Deira,Deira,Rashid Al Marzooqi,Silkene,HPC,5,9754.5
SO-101186,2024-07-03,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,Crunchio,Food,3,1455.9
SO-101556,2024-07-03,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,Crunchio,Food,12,5941.44
SO-100546,2024-07-04,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Verdé,HPC,2,4697.78
SO-101084,2024-07-04,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,Lumora,HPC,8,15274.0
SO-101442,2024-07-04,Sales,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,Verdé,HPC,8,16592.96
SO-100596,2024-07-05,Return,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,Caressa,HPC,-2,-3177.84
SO-101431,2024-07-05,Sales,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,Crunchio,Food,2,1078.04
SO-101611,2024-07-05,Sales,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,SunHarvest,Food,1,494.36
SO-100297,2024-07-06,Sales,1007,Al Maya Supermarket,50027,Al Maya Supermarket - Festival City,Festival City,Omar Haddad,Goldenfields,Food,12,13189.68
SO-100524,2024-07-06,Sales,1003,Spinneys,50008,Spinneys - Jumeirah,Jumeirah,Grace Fernandes,FreshNest,Food,1,772.51
SO-101016,2024-07-06,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Crunchio,Food,1,422.56
SO-101163,2024-07-06,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,FreshLine,HPC,3,3384.24
SO-101212,2024-07-06,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,FreshLine,HPC,5,5156.8
SO-101799,2024-07-06,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Crunchio,Food,2,1079.82
SO-100031,2024-07-07,Sales,1011,Aswaaq,50049,Aswaaq - Downtown,Downtown,Joseph Mathew,PureGlow,HPC,5,13962.85
SO-100326,2024-07-08,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Zaytoona,Food,60,99378.6
SO-101074,2024-07-08,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Zaytoona,Food,2,2756.28
SO-101247,2024-07-08,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,PureGlow,HPC,5,11899.4
SO-101529,2024-07-08,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Cedarna,Food,60,73085.4
SO-101369,2024-07-09,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Cedarna,Food,2,2347.98
SO-101530,2024-07-09,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Auracare,HPC,2,4447.6
SO-100027,2024-07-10,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Goldenfields,Food,2,2133.92
SO-101107,2024-07-10,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Cedarna,Food,20,24821.8
SO-101852,2024-07-10,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,PureGlow,HPC,3,8168.46
SO-100155,2024-07-11,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,Silkene,HPC,3,4697.28
SO-101840,2024-07-12,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,PureGlow,HPC,40,94520.0
SO-100106,2024-07-13,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Oasis Delights,Food,8,7146.24
SO-100510,2024-07-13,Sales,1002,Lulu Hypermarket,50005,Lulu Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,PureGlow,HPC,20,50568.0
SO-100579,2024-07-13,Return,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Caressa,HPC,-2,-3199.52
SO-101170,2024-07-14,Sales,1009,West Zone Supermarket,50038,West Zone Supermarket - Downtown,Downtown,Joseph Mathew,PureGlow,HPC,1,2914.5
SO-101485,2024-07-14,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Zaytoona,Food,8,12189.76
SO-101666,2024-07-14,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Caressa,HPC,12,15459.72
SO-100321,2024-07-16,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,SunHarvest,Food,3,1688.55
SO-100405,2024-07-16,Sales,1003,Spinneys,50008,Spinneys - Jumeirah,Jumeirah,Grace Fernandes,Sparklo,HPC,1,1058.2
SO-100768,2024-07-16,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Zaytoona,Food,8,12159.44
SO-101473,2024-07-16,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Sparklo,HPC,2,1922.42
SO-100533,2024-07-17,Return,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Cedarna,Food,-1,-1257.21
SO-101609,2024-07-17,Sales,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,Caressa,HPC,8,12867.44
SO-101882,2024-07-17,Sales,1013,Grandiose Supermarket,50056,Grandiose Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,DeliMia,Food,5,6424.1
SO-101951,2024-07-17,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,1,659.58
SO-100476,2024-07-18,Sales,1011,Aswaaq,50050,Aswaaq - International City,International City,Sunil Kumar,Bakehouse Co,Food,20,14780.8
SO-100686,2024-07-18,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Sparklo,HPC,5,3903.4
SO-100047,2024-07-19,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Cedarna,Food,12,17343.24
SO-101449,2024-07-20,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Verdé,HPC,5,8555.95
SO-101930,2024-07-20,Sales,1005,Union Coop,50016,Union Coop - Al Quoz,Al Quoz,Ayesha Siddiqui,Cedarna,Food,2,2252.12
SO-101701,2024-07-21,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,FreshLine,HPC,2,2188.42
SO-101708,2024-07-21,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Auracare,HPC,3,7069.95
SO-101750,2024-07-21,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,Marhaba Gold,Food,8,5657.36
SO-100466,2024-07-22,Sales,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Bakehouse Co,Food,20,15407.2
SO-100695,2024-07-22,Sales,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Cedarna,Food,8,10682.8
SO-101275,2024-07-22,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Caressa,HPC,20,27569.0
SO-100245,2024-07-23,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Marhaba Gold,Food,1,641.0
SO-100460,2024-07-23,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,SunHarvest,Food,20,10714.8
SO-100465,2024-07-23,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,PureGlow,HPC,1,2792.67
SO-100620,2024-07-23,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Oasis Delights,Food,3,2800.47
SO-101098,2024-07-23,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Caressa,HPC,1,1269.84
SO-101134,2024-07-23,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Sparklo,HPC,1,896.12
SO-101152,2024-07-23,Return,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Goldenfields,Food,-5,-4979.5
SO-101833,2024-07-23,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Crunchio,Food,12,5612.04
SO-100087,2024-07-25,Sales,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Silkene,HPC,5,9142.15
SO-100425,2024-07-25,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Silkene,HPC,60,99878.4
SO-101019,2024-07-25,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Verdé,HPC,40,70674.8
SO-101883,2024-07-25,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,Marhaba Gold,Food,3,2037.69
SO-100145,2024-07-26,Sales,1015,Safeer Market,50067,Safeer Market - Jumeirah,Jumeirah,Grace Fernandes,Verdé,HPC,2,4352.2
SO-100370,2024-07-26,Return,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Auracare,HPC,-1,-2669.18
SO-100545,2024-07-26,Sales,1015,Safeer Market,50065,Safeer Market - Discovery Gardens,Discovery Gardens,Lina Aboud,Silkene,HPC,8,12681.04
SO-101128,2024-07-26,Sales,1007,Al Maya Supermarket,50027,Al Maya Supermarket - Festival City,Festival City,Omar Haddad,Zaytoona,Food,20,35088.8
SO-101167,2024-07-26,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,Silkene,HPC,2,3811.8
SO-101665,2024-07-26,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,Verdé,HPC,5,10122.4
SO-101689,2024-07-26,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,PureGlow,HPC,20,49037.6
SO-101904,2024-07-26,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,Caressa,HPC,100,121584.0
SO-101346,2024-07-27,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,FreshLine,HPC,3,2885.64
SO-100023,2024-07-28,Return,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Silkene,HPC,-3,-5378.13
SO-100300,2024-07-28,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,SunHarvest,Food,60,35805.0
SO-101018,2024-07-28,Sales,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,Goldenfields,Food,1,1019.48
SO-101051,2024-07-28,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,Marhaba Gold,Food,2,1191.14
SO-100095,2024-07-29,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Bakehouse Co,Food,5,4249.55
SO-101332,2024-07-29,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,Zaytoona,Food,100,181524.0
SO-101537,2024-07-29,Return,1014,Day to Day,50063,Day to Day - Al Barsha,Al Barsha,Mohammed Saleh,Cleanova,HPC,-3,-4017.0
SO-101715,2024-07-29,Sales,1002,Lulu Hypermarket,50006,Lulu Hypermarket - Deira,Deira,Rashid Al Marzooqi,Lumora,HPC,1,1816.81
SO-101760,2024-07-29,Sales,1015,Safeer Market,50064,Safeer Market - Motor City,Motor City,Rashid Al Marzooqi,Silkene,HPC,40,58026.0
SO-101919,2024-07-29,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,PureGlow,HPC,3,7709.55
SO-100386,2024-07-30,Sales,1009,West Zone Supermarket,50038,West Zone Supermarket - Downtown,Downtown,Joseph Mathew,Marhaba Gold,Food,5,3734.9
